References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R1, R2	2	4.7K 1206	Yageo	RC1206FR-074K7L	311-4.70KFRCT-ND	603RC1206FR074K7L			
R3 - R6	5	22K 1206	Yageo	RC1206FR-0722KL	311-22.0KFRCT-ND	603RC1206FR0722KL			
R7, R8	2	470 1206	Yageo	RC1206FR-07470RL	311-470FRTR-ND	603RC1206FR07470RL			
R9, R10	2	1K 1206	Yageo	RC1206FR-071KL (LED)	311-1.00KFRCT-ND	603RC1206FR071KL			
C1, C2	2	10nF 1206	KEMET	C1206C103K5RACTU	399-1234-1-ND	80C1206C103K5R			
LED1, LED2	2	Indicator LED's	Kingbright	AA3528SURSK	754-1537-1-ND	604AA3528SURSK			
NEO	2	SK6812 LED (Neopixel)	Adafruit	SK6812	1528-1104-ND	4851655			
ICS1	1	8Pin-DIL-Socket	Amphenol FCI	DILB8P-223TLF	609-4717-ND	649DILB8P223TLF			
IC1	1	Attiny85	Microchip Technology / Atmel	ATtiny85-20SU	ATTINY85-20PU-ND	556ATTINY8520PU			
B1, B2	2	Control buttons	Omron	B3F-1005	SW793-ND	653B3F1005			
B3	1	Reset Button	Grayhill	95C04A3GWRT	GH7643CT-ND	70695C04A3GWRT			
Jack	2	Mini-Jack female 3.5mm	CUI	SJ1-3525N	CP1-3525N-ND	490SJ13525N			
